cl,tissue,gene,marker_score
CL:0000034,small intestine,slc12a2,0.5031610727310181
CL:0000034,small intestine,dmbt1,0.7583268284797668
CL:0000034,small intestine,mt1g,0.5111770629882812
CL:0000034,small intestine,pigr,0.5195218920707703
CL:0000034,small intestine,agr2,0.5331586599349976
CL:0000034,small intestine,atp5mc1,0.5457152724266052
CL:0000034,small intestine,txn,0.5514332056045532
CL:0000034,small intestine,gpx2,0.5659716129302979
CL:0000034,small intestine,uqcrh,0.6071282625198364
CL:0000034,small intestine,rpl12,0.6238957047462463
CL:0000034,small intestine,mlec,0.6315010786056519
CL:0000034,small intestine,mgst1,0.7326889038085938
CL:0000034,small intestine,olfm4,1.2367018461227417
CL:0000034,small intestine,reg1a,1.027164101600647
CL:0000057,brain,lamc3,0.9419616460800171
CL:0000057,brain,dse,0.9617369174957275
CL:0000057,brain,pard3,0.9741771221160889
CL:0000057,brain,linc02147,0.9849601984024048
CL:0000057,brain,linc01088,0.9863542318344116
CL:0000057,brain,eps8,0.9987632632255554
CL:0000057,brain,col1a2,1.0032777786254883
CL:0000057,brain,sash1,1.0235233306884766
CL:0000057,brain,ntrk3,1.0236501693725586
CL:0000057,brain,abca6,1.0242516994476318
CL:0000057,brain,prrx1,1.0329387187957764
CL:0000057,brain,svil,1.049043893814087
CL:0000057,brain,pdgfrb,0.9303326606750488
CL:0000057,brain,uaca,0.9285202026367188
CL:0000057,brain,prelp,0.9273514151573181
CL:0000057,brain,rp11719n91,0.9195470809936523
CL:0000057,brain,zeb1,0.9004419445991516
CL:0000057,brain,slc20a2,0.8998103141784668
CL:0000057,brain,disc1,0.8981305360794067
CL:0000057,brain,pde7b,0.890424370765686
CL:0000057,brain,slc7a11,0.8831058740615845
CL:0000057,brain,cenpp,0.8714004755020142
CL:0000057,brain,fbln1,0.8641798496246338
CL:0000057,brain,pias1,0.8625127673149109
CL:0000057,brain,rbpms,0.8568227887153625
CL:0000057,brain,rnf220,1.1794626712799072
CL:0000057,brain,colec12,1.7300281524658203
CL:0000057,brain,dcn,1.5916563272476196
CL:0000057,brain,abca9,1.5059009790420532
CL:0000057,brain,atp1a2,1.4994487762451172
CL:0000057,brain,rbms3,1.3658289909362793
CL:0000057,brain,arhgap10,1.3340158462524414
CL:0000057,brain,itih5,1.3206511735916138
CL:0000057,brain,zic1,1.3013901710510254
CL:0000057,brain,abca8,1.280360221862793
CL:0000057,brain,bicc1,1.2546906471252441
CL:0000057,brain,lhfpl6,1.21432363986969
CL:0000057,brain,abca10,1.1846723556518555
CL:0000057,brain,slc6a13,1.0548515319824219
CL:0000057,brain,cemip,1.1760051250457764
CL:0000057,brain,nr2f1,1.1736502647399902
CL:0000057,brain,frmd6,1.1722644567489624
CL:0000057,brain,rp11649a161,1.153775691986084
CL:0000057,brain,lama4,1.1265711784362793
CL:0000057,brain,nr2f2as1,1.1265078783035278
CL:0000057,brain,tbx18,1.1097980737686157
CL:0000057,brain,apod,1.108128309249878
CL:0000057,brain,tgfbr3,1.1074737310409546
