cl,tissue,gene,marker_score
CL:0000057,brain,arhgap29,1.1045442819595337
CL:0000057,brain,rora,1.0594782829284668
CL:0000057,brain,cdh11,0.7086453437805176
CL:0000057,brain,slc6a1,0.7625481486320496
CL:0000057,brain,dlc1,0.7561713457107544
CL:0000057,brain,zcchc24,0.755264937877655
CL:0000057,brain,nkd1,0.742235541343689
CL:0000057,brain,pdzrn3,0.7361064553260803
CL:0000057,brain,lamc1,0.7342851758003235
CL:0000057,brain,fhl2,0.7280467748641968
CL:0000057,brain,dennd2b,0.7247260808944702
CL:0000057,brain,slc19a1,0.7204189896583557
CL:0000057,brain,col18a1,0.7118937969207764
CL:0000057,brain,dleu2,0.7116286754608154
CL:0000057,brain,tpcn1,0.7096248269081116
CL:0000057,brain,cyp1b1,0.7638007402420044
CL:0000057,brain,plxdc1,0.7066948413848877
CL:0000057,brain,fndc3b,0.7047913074493408
CL:0000057,brain,ppfibp1,0.7002435922622681
CL:0000057,brain,tns1,0.697639524936676
CL:0000057,brain,ust,0.6972386837005615
CL:0000057,brain,flvcr2,0.6963197588920593
CL:0000057,brain,linc02058,0.6962090134620667
CL:0000057,brain,aldh1a2,0.6958929300308228
CL:0000057,brain,rp1196h191,0.6954770088195801
CL:0000057,brain,col12a1,0.6941500902175903
CL:0000057,brain,lama2,2.7719006538391113
CL:0000057,brain,adgrd1,0.8021129965782166
CL:0000057,brain,xxbacbpg55c207,0.8546796441078186
CL:0000057,brain,ldlrad3,0.8525814414024353
CL:0000057,brain,pid1,0.8513036370277405
CL:0000057,brain,sema5a,0.8477776646614075
CL:0000057,brain,pld1,0.8468009829521179
CL:0000057,brain,rp1171n101,0.8345208764076233
CL:0000057,brain,srpx2,0.8305861353874207
CL:0000057,brain,mir100hg,0.8203791975975037
CL:0000057,brain,fmo2,0.8187496066093445
CL:0000057,brain,nid1,0.8092918992042542
CL:0000057,brain,timp3,0.8028062582015991
CL:0000057,brain,lrp1,0.8022758960723877
CL:0000057,brain,arhgap42,0.8557380437850952
CL:0000057,brain,linc00924,0.8015768527984619
CL:0000057,brain,slc6a12,0.7969104051589966
CL:0000057,brain,antxr2,0.7952475547790527
CL:0000057,brain,c7,0.7824180722236633
CL:0000057,brain,rp11759a243,0.7816817164421082
CL:0000057,brain,grk5,0.7798101902008057
CL:0000057,brain,col15a1,0.7772558927536011
CL:0000057,brain,usp53,0.7766546607017517
CL:0000057,brain,c1s,0.7750161290168762
CL:0000057,brain,kcne4,0.7728965878486633
CL:0000057,brain,ebf1,0.7687523365020752
CL:0000071,lymph node,ehd4,0.5949857234954834
CL:0000071,lymph node,thbd,0.5944971442222595
CL:0000071,lymph node,shc1,0.5941856503486633
CL:0000071,lymph node,ifi16,0.5956932306289673
CL:0000071,lymph node,mmrn2,0.5828725695610046
CL:0000071,lymph node,znf385d,0.5933713912963867
CL:0000071,lymph node,fam107a,0.5904741883277893
CL:0000071,lymph node,enpp2,0.5878986716270447
CL:0000071,lymph node,aqp1,0.5832626223564148
CL:0000071,lymph node,ralgapa2,0.6284019351005554
CL:0000071,lymph node,cfi,0.5959866642951965
CL:0000071,lymph node,spry1,0.5969203114509583
CL:0000071,lymph node,cyyr1,0.5983957648277283
CL:0000071,lymph node,nostrin,0.6035627126693726
CL:0000071,lymph node,itm2a,0.6047111749649048
CL:0000071,lymph node,epas1,0.6119887828826904
CL:0000071,lymph node,egfl7,0.6122291684150696
CL:0000071,lymph node,lifr,0.6184956431388855
CL:0000071,lymph node,il33,0.6270928382873535
CL:0000071,lymph node,adgrl4,0.5313030481338501
CL:0000071,lymph node,ifitm1,0.5527251362800598
CL:0000071,lymph node,selp,0.5086460709571838
CL:0000071,lymph node,gimap7,0.5383338332176208
CL:0000071,lymph node,itga6,0.5410087704658508
CL:0000071,lymph node,pdlim1,0.5417773127555847
CL:0000071,lymph node,s1pr1,0.5433981418609619
CL:0000071,lymph node,hlae,0.5458900332450867
CL:0000071,lymph node,tgm2,0.5461588501930237
CL:0000071,lymph node,fkbp1a,0.5461782813072205
CL:0000071,lymph node,ptprb,0.5465238094329834
CL:0000071,lymph node,tgfbr2,0.5753101110458374
CL:0000071,lymph node,plscr1,0.5527352094650269
CL:0000071,lymph node,ets2,0.5578585863113403
CL:0000071,lymph node,ifi27,0.5579462051391602
CL:0000071,lymph node,mpzl2,0.5603018999099731
CL:0000071,lymph node,nectin2,0.5608611106872559
CL:0000071,lymph node,tpd52l1,0.5610911250114441
CL:0000071,lymph node,fam241a,0.5672547221183777
CL:0000071,lymph node,mmrn1,0.5734592080116272
CL:0000071,lymph node,vamp5,0.5170345902442932
CL:0000071,lymph node,tspan7,0.8864608407020569
CL:0000071,lymph node,ackr1,1.023086428642273
CL:0000071,lymph node,vwf,1.0732239484786987
CL:0000071,lymph node,plvap,1.0880252122879028
CL:0000071,lymph node,rasa4b,0.5102072358131409
CL:0000071,lymph node,nedd9,0.510512113571167
CL:0000071,lymph node,npdc1,0.5120128393173218
CL:0000071,lymph node,olfm1,0.5147884488105774
CL:0000071,lymph node,rbp5,0.5164260268211365
CL:0000071,lymph node,sparcl1,0.8757318258285522
CL:0000071,lymph node,il3ra,0.5208002328872681
CL:0000071,lymph node,txnip,0.5232471823692322
CL:0000071,lymph node,tmem273,0.5259653925895691
CL:0000071,lymph node,klf7,0.5265153646469116
CL:0000071,lymph node,cdc42ep3,0.5290659070014954
CL:0000071,lymph node,bmpr2,0.5336319208145142
CL:0000071,lymph node,dipk2b,0.5337094664573669
CL:0000071,lymph node,c7,0.5350568890571594
CL:0000071,lymph node,meox1,0.5089048147201538
CL:0000071,lymph node,clec14a,0.7057306170463562
CL:0000071,lymph node,ldb2,0.6477134227752686
CL:0000071,lymph node,leprot,0.6485918760299683
CL:0000071,lymph node,vwa1,0.6506531238555908
CL:0000071,lymph node,slco2a1,0.6531091332435608
CL:0000071,lymph node,ecscr,0.6569139957427979
CL:0000071,lymph node,prss23,0.6627744436264038
CL:0000071,lymph node,sncg,0.6706956028938293
CL:0000071,lymph node,dusp23,0.6865056157112122
CL:0000071,lymph node,prcp,0.6945553421974182
CL:0000071,lymph node,calcrl,0.6408967971801758
CL:0000071,lymph node,tinagl1,0.7165635228157043
CL:0000071,lymph node,cavin2,0.7424187064170837
CL:0000071,lymph node,hyal2,0.8022790551185608
CL:0000071,lymph node,rasa4,0.8054726123809814
CL:0000071,lymph node,pecam1,0.8182764649391174
CL:0000071,lymph node,eng,0.8368794918060303
CL:0000071,lymph node,ramp3,0.8391878604888916
CL:0000071,lymph node,ccl14,0.8593379855155945
CL:0000071,lymph node,sntb2,0.5072624087333679
CL:0000071,lymph node,emcn,0.5009780526161194
CL:0000071,lymph node,eva1c,0.5066779851913452
CL:0000071,lymph node,adcy4,0.506977379322052
CL:0000071,heart,gng11,0.8296946287155151
CL:0000071,heart,f8,1.2198913097381592
CL:0000071,heart,id3,0.8345386385917664
CL:0000071,heart,esam,0.8508169054985046
CL:0000071,heart,mmrn2,0.8571056723594666
CL:0000071,heart,fkbp1a,0.8571193218231201
CL:0000071,heart,btnl9,0.8602395057678223
CL:0000071,heart,s1pr1,0.8629667162895203
CL:0000071,heart,ptprb,0.8750604391098022
CL:0000071,heart,mgll,0.8776921033859253
CL:0000071,heart,tcim,0.9061814546585083
CL:0000071,heart,cavin2,0.9126772880554199
CL:0000071,heart,pdlim1,0.9264909625053406
CL:0000071,heart,lap3,0.6952547430992126
CL:0000071,heart,sparcl1,1.2530654668807983
CL:0000071,heart,cldn5,1.249658465385437
CL:0000071,heart,hlac,0.7318239808082581
CL:0000071,heart,notch4,0.7958841919898987
CL:0000071,heart,tspan13,0.6263846755027771
CL:0000071,heart,gimap7,0.7409648895263672
CL:0000071,heart,cdc37,0.7434144020080566
CL:0000071,heart,rgcc,0.7542793154716492
CL:0000071,heart,itm2a,0.7545258402824402
CL:0000071,heart,sec14l1,0.7766804099082947
CL:0000071,heart,cxcl2,0.7805184125900269
CL:0000071,heart,hlae,0.7811320424079895
CL:0000071,heart,hyal2,0.8283796310424805
CL:0000071,heart,ppp1r14a,0.8031538128852844
CL:0000071,heart,pcat19,0.8073463439941406
CL:0000071,heart,ecscr,0.8105401992797852
CL:0000071,heart,anxa3,0.8157494068145752
CL:0000071,heart,cyyr1,0.8164985179901123
CL:0000071,heart,aqp1,0.8225510120391846
CL:0000071,heart,ramp3,0.825586199760437
CL:0000071,heart,cd59,1.0679398775100708
CL:0000071,heart,tinagl1,1.0185251235961914
CL:0000071,heart,crip2,1.0276341438293457
CL:0000071,heart,eng,1.167839765548706
CL:0000071,heart,fabp4,1.1444896459579468
CL:0000071,heart,bst2,1.1391983032226562
CL:0000071,heart,adgrf5,1.1188609600067139
CL:0000071,heart,icam2,1.1047414541244507
CL:0000071,heart,a2m,1.086323857307434
CL:0000071,heart,emcn,0.9983779191970825
CL:0000071,heart,lgals3,1.054008960723877
CL:0000071,heart,id1,1.0514042377471924
CL:0000071,heart,adgrl4,1.0504826307296753
CL:0000071,heart,ifitm3,1.0439881086349487
CL:0000071,heart,tmem88,1.0320357084274292
CL:0000071,heart,mgst2,0.6091793775558472
CL:0000071,heart,ccdc85b,0.6229390501976013
CL:0000071,heart,myct1,0.6262198090553284
CL:0000071,heart,cd34,0.6680416464805603
CL:0000071,heart,vamp5,0.9376256465911865
CL:0000071,heart,ifitm2,0.942092776298523
CL:0000071,heart,wars1,0.9484597444534302
CL:0000071,heart,pecam1,0.9487972259521484
CL:0000071,heart,fam107a,0.9517704248428345
CL:0000071,heart,cdh5,0.9731420874595642
CL:0000071,heart,sox18,0.9810068011283875
CL:0000071,heart,cav1,1.1961309909820557
CL:0000071,heart,stom,1.209551453590393
CL:0000071,heart,ldb2,0.6680838465690613
CL:0000071,heart,afdn,0.6709030866622925
CL:0000071,heart,kank3,0.6762679219245911
CL:0000071,heart,rhoc,0.6810243129730225
CL:0000071,heart,adam15,0.6837011575698853
CL:0000071,heart,flt1,1.1924426555633545
CL:0000071,heart,epas1,0.9931231141090393
CL:0000071,heart,fabp5,1.3294832706451416
CL:0000071,heart,sox17,0.6332244873046875
CL:0000071,heart,ramp2,0.6367768049240112
CL:0000071,heart,tcf15,0.6415361762046814
CL:0000071,heart,cd93,0.6439443826675415
CL:0000071,heart,arhgap29,0.6651618480682373
CL:0000071,heart,ca4,0.6672486066818237
CL:0000071,heart,cav2,0.5897248983383179
CL:0000071,heart,clec14a,1.2713768482208252
CL:0000071,heart,rnase1,1.291477918624878
CL:0000071,heart,tm4sf1,1.3165862560272217
CL:0000071,heart,s100a16,0.5762999057769775
CL:0000071,heart,slc9a3r2,1.4162636995315552
CL:0000071,heart,egfl7,1.525512933731079
CL:0000071,heart,slco4a1,0.5926321744918823
CL:0000071,heart,fcn3,0.7236819863319397
CL:0000071,heart,dipk2b,0.7199041247367859
CL:0000071,heart,itga6,0.7117331624031067
CL:0000071,heart,rbp7,0.6085417866706848
CL:0000071,heart,gpihbp1,0.6075272560119629
CL:0000071,heart,tagln2,0.603903591632843
CL:0000071,heart,apold1,0.5960997939109802
CL:0000071,heart,mcf2l,0.573318362236023
CL:0000071,heart,rasip1,0.5674527287483215
CL:0000071,heart,hladrb5,0.5908920764923096
CL:0000071,heart,ifi6,0.5657920837402344
CL:0000071,heart,hlab,0.5652686357498169
CL:0000071,heart,tamalin,0.5620371699333191
CL:0000071,heart,fmo2,0.5617401003837585
CL:0000071,heart,vwf,1.7516273260116577
CL:0000071,heart,ifi27,1.6921156644821167
CL:0000097,lymph node,capg,0.6030937433242798
CL:0000097,lymph node,anxa1,0.6108719706535339
CL:0000097,lymph node,acsl4,0.6273618340492249
CL:0000097,lymph node,adcyap1,0.629920244216919
CL:0000097,lymph node,ctnnbl1,0.6557701826095581
CL:0000097,lymph node,cd84,0.6717774271965027
CL:0000097,lymph node,hdc,0.6796616315841675
CL:0000097,lymph node,cd69,0.7131258249282837
CL:0000097,lymph node,rgs13,0.7562934756278992
CL:0000097,lymph node,samsn1,0.7567769289016724
CL:0000097,lymph node,ltc4s,0.8110067248344421
CL:0000097,lymph node,rgs1,0.8115165829658508
CL:0000097,lymph node,gpr65,0.8440737724304199
CL:0000097,lymph node,alox5ap,0.8882350921630859
CL:0000097,lymph node,slc18a2,0.8674137592315674
CL:0000097,lymph node,areg,0.8763526678085327
CL:0000097,lymph node,gata2,1.0658589601516724
CL:0000097,lymph node,bmp2k,0.5391650199890137
CL:0000097,lymph node,slc45a3,0.503534197807312
CL:0000097,lymph node,rab27b,0.5035653114318848
CL:0000097,lymph node,gcsaml,0.5141558647155762
CL:0000097,lymph node,arhgef6,0.5269775986671448
CL:0000097,lymph node,rp11354e112,0.5282395482063293
CL:0000097,lymph node,alox5,0.5336763262748718
CL:0000097,lymph node,siglec6,0.5341113209724426
CL:0000097,lymph node,tnik,0.5385034680366516
CL:0000097,lymph node,maob,0.5877974033355713
CL:0000097,lymph node,nsmce1dt,0.5396689176559448
CL:0000097,lymph node,stxbp6,0.5398738980293274
CL:0000097,lymph node,ptgs1,0.5448055267333984
CL:0000097,lymph node,stx3,0.5501958131790161
CL:0000097,lymph node,srgn,0.5678703784942627
CL:0000097,lymph node,cma1,0.5745515823364258
CL:0000097,lymph node,btk,0.5808348059654236
CL:0000097,lymph node,vwa5a,0.9749054312705994
CL:0000097,lymph node,ctsg,0.9274947047233582
CL:0000097,lymph node,tpsab1,2.089116096496582
CL:0000097,lymph node,tpsb2,1.931100845336914
CL:0000097,lymph node,cpa3,1.878768801689148
CL:0000097,lymph node,hpgds,1.4086499214172363
CL:0000097,lymph node,ms4a2,1.2543363571166992
CL:0000097,lymph node,hpgd,1.0953181982040405
CL:0000097,lymph node,il1rl1,1.084865689277649
CL:0000097,lymph node,rhex,0.9923759698867798
CL:0000097,lymph node,kit,0.9834905862808228
CL:0000097,bone marrow,uqcrc2,0.522217333316803
CL:0000097,bone marrow,cd82,0.7559576034545898
CL:0000097,bone marrow,snx5,0.7419424057006836
CL:0000097,bone marrow,cox17,0.7329716086387634
CL:0000097,bone marrow,rps6ka5,0.7301331162452698
CL:0000097,bone marrow,camlg,0.7242329120635986
CL:0000097,bone marrow,aldh1a1,0.7217625379562378
CL:0000097,bone marrow,leo1,0.7166934013366699
CL:0000097,bone marrow,gapt,0.7121508121490479
CL:0000097,bone marrow,bace2,0.708146870136261
CL:0000097,bone marrow,svopl,0.7080427408218384
CL:0000097,bone marrow,adam8,0.7027363777160645
CL:0000097,bone marrow,arhgef6,0.7585339546203613
CL:0000097,bone marrow,linc02829,0.6151500344276428
CL:0000097,bone marrow,atp6v0a2,0.9585049748420715
CL:0000097,bone marrow,hsd17b4,0.5286425352096558
CL:0000097,bone marrow,krt1,0.5517706274986267
CL:0000097,bone marrow,meis2,0.5659092664718628
CL:0000097,bone marrow,mboat7,0.5723994374275208
CL:0000097,bone marrow,stxbp5,0.5773858428001404
CL:0000097,bone marrow,renbp,0.5882318019866943
CL:0000097,bone marrow,epx,0.5899280309677124
CL:0000097,bone marrow,arhgap15,0.5952945947647095
CL:0000097,bone marrow,dennd1b,0.6017317771911621
CL:0000097,bone marrow,ctnnbl1,0.609993577003479
CL:0000097,bone marrow,csf2rb,0.6907092928886414
CL:0000097,bone marrow,tnfsf10,0.6260149478912354
CL:0000097,bone marrow,itga4,0.6354061365127563
CL:0000097,bone marrow,tpsd1,0.6397214531898499
CL:0000097,bone marrow,mir44352hg,0.6411782503128052
CL:0000097,bone marrow,mthfd2,0.6503400206565857
CL:0000097,bone marrow,rac2,0.650493860244751
CL:0000097,bone marrow,arhgap18,0.6515293121337891
CL:0000097,bone marrow,stx3,0.6588095426559448
CL:0000097,bone marrow,glul,0.6681831479072571
CL:0000097,bone marrow,cd33,0.6824367642402649
CL:0000097,bone marrow,anxa1,1.0666803121566772
CL:0000097,bone marrow,rp11354e112,1.4225109815597534
CL:0000097,bone marrow,ms4a3,1.3219102621078491
CL:0000097,bone marrow,tpsab1,1.3173733949661255
CL:0000097,bone marrow,hpgd,1.2968754768371582
CL:0000097,bone marrow,il1rl1,1.2679967880249023
CL:0000097,bone marrow,cnrip1,1.2296720743179321
CL:0000097,bone marrow,alox5,1.1533699035644531
CL:0000097,bone marrow,gcsaml,0.5501729249954224
CL:0000097,bone marrow,samsn1,1.140582799911499
CL:0000097,bone marrow,tpsb2,1.0889530181884766
CL:0000097,bone marrow,alox5ap,1.4501010179519653
CL:0000097,bone marrow,clc,1.0539023876190186
CL:0000097,bone marrow,btk,1.052423357963562
CL:0000097,bone marrow,slc45a3,1.0513776540756226
CL:0000097,bone marrow,grap2,1.0508042573928833
CL:0000097,bone marrow,clec4o,1.0054607391357422
CL:0000097,bone marrow,capg,0.9885818958282471
CL:0000097,bone marrow,il5ra,0.9841721653938293
CL:0000097,bone marrow,ms4a2,0.9451497197151184
CL:0000097,bone marrow,kit,0.9454465508460999
CL:0000097,bone marrow,acsl4,0.9069461822509766
CL:0000097,bone marrow,tespa1,0.789574384689331
CL:0000097,bone marrow,clic1,0.8278863430023193
CL:0000097,bone marrow,c4orf48,0.8291200995445251
CL:0000097,bone marrow,sting1,0.8359277844429016
CL:0000097,bone marrow,c15orf61,0.8640072345733643
CL:0000097,bone marrow,srgn,0.8653315305709839
CL:0000097,bone marrow,p2rx1,0.8688299655914307
CL:0000097,bone marrow,plin2,0.8795384168624878
CL:0000097,bone marrow,ltc4s,0.8990722298622131
CL:0000097,bone marrow,gihcg,0.7708147764205933
CL:0000097,bone marrow,prg2,0.9164188504219055
CL:0000097,bone marrow,vwa5a,0.9387674331665039
CL:0000097,bone marrow,gata2,2.681016445159912
CL:0000097,bone marrow,cpa3,2.650747776031494
CL:0000097,bone marrow,hdc,2.3415884971618652
CL:0000097,bone marrow,hpgds,2.210038661956787
CL:0000097,bone marrow,rhex,1.7651804685592651
CL:0000097,bone marrow,lmo4,1.700096607208252
CL:0000097,bone marrow,slc18a2,1.5987251996994019
CL:0000097,bone marrow,cd200r1,0.5075960159301758
CL:0000097,bone marrow,exosc8,0.506502091884613
CL:0000097,bone marrow,elf1,0.5031158328056335
CL:0000097,bone marrow,rab37,0.5019136071205139
CL:0000097,bone marrow,cpped1,0.5156282782554626
CL:0000158,respiratory system,s100p,0.5393596887588501
CL:0000158,respiratory system,wfdc2,1.3372070789337158
CL:0000158,respiratory system,cxcl17,1.2448371648788452
CL:0000158,respiratory system,slpi,1.233715534210205
CL:0000158,respiratory system,vmo1,1.1419355869293213
CL:0000158,respiratory system,cyp2f1,1.0405528545379639
CL:0000158,respiratory system,muc5b,0.5107667446136475
CL:0000158,respiratory system,msmb,0.5174331068992615
CL:0000158,respiratory system,vsig2,0.5215849280357361
CL:0000158,respiratory system,ugt2a1,0.5424672365188599
CL:0000158,respiratory system,s100a6,0.5434849262237549
CL:0000158,respiratory system,mdk,0.5516133904457092
CL:0000158,respiratory system,klk11,0.5876042246818542
CL:0000158,respiratory system,tspan8,0.5892723798751831
CL:0000158,respiratory system,lypd2,0.7369754910469055
CL:0000158,respiratory system,adh1c,0.7672926187515259
CL:0000158,respiratory system,serpinb3,0.8329208493232727
CL:0000158,respiratory system,agr2,0.8810008764266968
CL:0000158,respiratory system,fam3d,0.8952268958091736
CL:0000158,respiratory system,prss23,0.9044439196586609
CL:0000158,respiratory system,scgb1a1,0.9148714542388916
CL:0000158,lung,kiaa1217,0.502527117729187
CL:0000158,lung,scgb1a1,1.060607671737671
CL:0000158,lung,scgb3a1,1.0428693294525146
CL:0000158,lung,pigr,0.9174378514289856
CL:0000158,lung,sftpb,0.9040132761001587
CL:0000158,lung,cxcl17,0.7984117269515991
CL:0000158,lung,cp,0.7345259785652161
CL:0000158,lung,bpifb1,0.7027736306190491
CL:0000158,lung,tmc5,0.6886347532272339
CL:0000158,lung,steap4,0.6409299373626709
CL:0000158,lung,wfdc2,0.6067233085632324
CL:0000158,lung,cyp2f1,0.5897364020347595
CL:0000158,lung,nedd4l,0.5838462710380554
CL:0000158,lung,ceacam6,0.5807477831840515
CL:0000158,lung,met,0.5780352354049683
CL:0000158,lung,lcn2,0.5517813563346863
CL:0000158,lung,cyp4b1,0.537868082523346
CL:0000158,lung,klk11,0.5374812483787537
CL:0000158,lung,sfta3,0.5354800224304199
CL:0000158,lung,c16orf89,0.5353644490242004
CL:0000158,lung,scnn1b,0.5347877740859985
CL:0000158,lung,aqp5,0.5286790132522583
CL:0000158,lung,serpinb3,0.5247212648391724
CL:0000158,lung,mecom,0.5209017992019653
CL:0000158,lung,slpi,0.519120454788208
CL:0000158,lung,clic6,0.5098803639411926
CL:0000158,lung,vmo1,0.5047546029090881
CL:0000158,lung,fam3d,0.5041282176971436
CL:0000235,lymph node,apoc1,1.291182041168213
CL:0000235,lymph node,ly96,0.5040811896324158
CL:0000235,lymph node,rnaset2,0.5055986642837524
CL:0000235,lymph node,mrc1,0.5065832734107971
CL:0000235,lymph node,cybb,0.5430384874343872
CL:0000235,lymph node,cd68,0.745831310749054
CL:0000235,lymph node,ms4a7,0.7233741283416748
CL:0000235,lymph node,aif1,0.7060472965240479
CL:0000235,lymph node,ccl3,0.799652636051178
CL:0000235,lymph node,c1qb,1.198518991470337
CL:0000235,lymph node,capg,0.7468990087509155
CL:0000235,lymph node,c1qa,1.1840351819992065
CL:0000235,lymph node,ctsd,0.8268961310386658
CL:0000235,lymph node,c1qc,1.1203426122665405
CL:0000235,lymph node,apoe,1.1044646501541138
CL:0000235,lymph node,gpnmb,0.9747148752212524
CL:0000235,lymph node,lyz,0.9656344056129456
CL:0000235,lymph node,tyrobp,0.9603948593139648
CL:0000235,lymph node,ctsb,0.8455207347869873
CL:0000235,lymph node,spp1,0.8419632911682129
CL:0000235,lymph node,cstb,0.8313668370246887
CL:0000235,lymph node,ms4a6a,0.6940793991088867
CL:0000235,lymph node,fcer1g,0.8057788014411926
CL:0000235,lymph node,cxcl8,0.5361332893371582
CL:0000235,lymph node,pelaton,0.5271465182304382
CL:0000235,lymph node,ccl18,0.520595371723175
CL:0000235,lymph node,ccl4l2,0.513004720211029
CL:0000235,lymph node,spi1,0.5090469717979431
CL:0000235,lymph node,pla2g7,0.5070603489875793
CL:0000235,lymph node,pld3,0.5941309928894043
CL:0000235,lymph node,fbp1,0.5791199803352356
CL:0000235,lymph node,marco,0.5638458132743835
CL:0000235,lymph node,msr1,0.5636810064315796
CL:0000235,lymph node,atp6v1f,0.5583989024162292
CL:0000235,lymph node,fcgr2a,0.5496433973312378
CL:0000235,lymph node,creg1,0.6084654927253723
CL:0000235,lymph node,igsf6,0.6149634122848511
CL:0000235,lymph node,ctss,0.6217848658561707
CL:0000235,lymph node,lipa,0.6283037662506104
CL:0000235,lymph node,lilrb4,0.6289540529251099
CL:0000235,lymph node,snx10,0.5456596612930298
CL:0000235,lymph node,fcgr3a,0.643131673336029
CL:0000235,lymph node,trem2,0.6432913541793823
CL:0000235,lymph node,acp5,0.655147135257721
CL:0000235,lymph node,cd14,0.6672981977462769
CL:0000235,lymph node,vsig4,0.6704109907150269
CL:0000235,lymph node,ms4a4a,0.6728977560997009
CL:0000235,lymph node,cd163,0.6735543608665466
CL:0000235,lymph node,ctsl,0.6836226582527161
CL:0000235,lymph node,ctsz,0.6996715068817139
CL:0000235,heart,c1qc,0.7905678153038025
CL:0000235,heart,c5ar1,0.5903052091598511
CL:0000235,heart,naip,0.5883097052574158
CL:0000235,heart,csf1r,0.6314451098442078
CL:0000235,heart,folr2,0.5911267995834351
CL:0000235,heart,siglec1,0.6016876697540283
CL:0000235,heart,ctsz,0.6094565391540527
CL:0000235,heart,marco,0.6113628149032593
CL:0000235,heart,adap2,0.6261934638023376
CL:0000235,heart,cd68,0.628709614276886
CL:0000235,heart,agfg1,0.5527149438858032
CL:0000235,heart,marchf1,0.5750827789306641
CL:0000235,heart,spi1,0.574291467666626
CL:0000235,heart,fcer1g,0.5654677748680115
CL:0000235,heart,slc11a1,0.5013449192047119
CL:0000235,heart,fgd2,0.510892927646637
CL:0000235,heart,tlr2,0.5113704204559326
CL:0000235,heart,c3ar1,0.5165542364120483
CL:0000235,heart,c1orf162,0.5284866094589233
CL:0000235,heart,hck,0.5374648571014404
CL:0000235,heart,lilrb5,0.5496504306793213
CL:0000235,heart,rnase1,0.6447204351425171
CL:0000235,heart,cd163,1.2466574907302856
CL:0000235,heart,ms4a6a,1.1853649616241455
CL:0000235,heart,f13a1,1.0492455959320068
CL:0000235,heart,rbpj,1.0383142232894897
CL:0000235,heart,mrc1,1.0284291505813599
CL:0000235,heart,lyve1,0.9990424513816833
CL:0000235,heart,vsig4,0.9942615032196045
CL:0000235,heart,stab1,0.913695752620697
CL:0000235,heart,rbm47,0.847905695438385
CL:0000235,heart,cd14,0.8473981618881226
CL:0000235,heart,ctsb,0.8428863286972046
