cl,tissue,gene,marker_score
CL:0000034,small intestine,pigr,0.5378336310386658
CL:0000034,small intestine,olfm4,1.3002980947494507
CL:0000034,small intestine,reg1a,1.0686715841293335
CL:0000034,small intestine,dmbt1,0.8229129910469055
CL:0000034,small intestine,mgst1,0.7915891408920288
CL:0000034,small intestine,agr2,0.7861601114273071
CL:0000034,small intestine,uqcrh,0.7501406669616699
CL:0000034,small intestine,txn,0.7061302661895752
CL:0000034,small intestine,atp5mc1,0.668923556804657
CL:0000034,small intestine,gpx2,0.6313413381576538
CL:0000034,small intestine,mlec,0.6193406581878662
CL:0000034,small intestine,slc12a2,0.5853563547134399
CL:0000034,small intestine,mt1g,0.571117103099823
CL:0000034,small intestine,ccl25,0.5452612042427063
CL:0000034,small intestine,rps18,0.5040017366409302
CL:0000034,small intestine,tspan8,0.5401691198348999
CL:0000057,brain,cemip,1.205369234085083
CL:0000057,brain,zic1,1.2053393125534058
CL:0000057,brain,frmd6,1.1778637170791626
CL:0000057,brain,rnf220,1.1640316247940063
CL:0000057,brain,nr2f1,1.1473249197006226
CL:0000057,brain,tgfbr3,1.140175223350525
CL:0000057,brain,ntrk3,1.1209663152694702
CL:0000057,brain,tbx18,1.1062265634536743
CL:0000057,brain,lama4,1.0901254415512085
CL:0000057,brain,apod,1.0857983827590942
CL:0000057,brain,prrx1,1.0793280601501465
CL:0000057,brain,slc6a13,1.0681350231170654
CL:0000057,brain,arhgap29,1.0564689636230469
CL:0000057,brain,pid1,1.0510753393173218
CL:0000057,brain,linc01088,1.0428920984268188
CL:0000057,brain,abca10,1.223738193511963
CL:0000057,brain,rora,1.232358694076538
CL:0000057,brain,nr2f2as1,1.2403457164764404
CL:0000057,brain,itih5,1.2649868726730347
CL:0000057,brain,abca8,1.2724127769470215
CL:0000057,brain,bicc1,1.3142085075378418
CL:0000057,brain,lhfpl6,1.3515657186508179
CL:0000057,brain,rbms3,1.3945151567459106
CL:0000057,brain,arhgap10,1.4298211336135864
CL:0000057,brain,atp1a2,1.4729411602020264
CL:0000057,brain,dcn,1.4900519847869873
CL:0000057,brain,abca9,1.5459123849868774
CL:0000057,brain,colec12,1.835583209991455
CL:0000057,brain,lama2,2.729325771331787
CL:0000057,brain,pard3,1.0259219408035278
CL:0000057,brain,timp3,0.7594643235206604
CL:0000057,brain,antxr2,0.7838646769523621
CL:0000057,brain,col15a1,0.7820203304290771
CL:0000057,brain,sptbn1,0.7819835543632507
CL:0000057,brain,ust,0.7713929414749146
CL:0000057,brain,kcne4,0.7684603929519653
CL:0000057,brain,c1s,0.7675501108169556
CL:0000057,brain,sh3d19,0.764789342880249
CL:0000057,brain,cyp1b1,0.7601519823074341
CL:0000057,brain,rp11759a243,0.7864956855773926
CL:0000057,brain,dennd2b,0.7555559873580933
CL:0000057,brain,nid1,0.7402587532997131
CL:0000057,brain,dlc1,0.7321577668190002
CL:0000057,brain,fhl2,0.7311859130859375
CL:0000057,brain,col12a1,0.7293536067008972
CL:0000057,brain,acss3,0.7224611639976501
CL:0000057,brain,flvcr2,0.7195541858673096
CL:0000057,brain,nkd1,0.7149515151977539
CL:0000057,brain,uaca,0.8214580416679382
CL:0000057,brain,pdgfrb,0.8446237444877625
CL:0000057,brain,rp1171n101,0.8371608853340149
CL:0000057,brain,slc6a1,0.8350856900215149
CL:0000057,brain,srpx2,0.834461510181427
CL:0000057,brain,slc20a2,0.8339488506317139
CL:0000057,brain,sema5a,0.832913875579834
CL:0000057,brain,lrp1,0.8311501145362854
CL:0000057,brain,fmo2,0.8262929320335388
CL:0000057,brain,grk5,0.713134229183197
CL:0000057,brain,flrt2,0.81657475233078
CL:0000057,brain,ldlrad3,0.816001296043396
CL:0000057,brain,mir99ahg,0.8117967247962952
CL:0000057,brain,adgrd1,0.8079882264137268
CL:0000057,brain,slc6a12,0.8078578114509583
CL:0000057,brain,linc00924,0.8031327724456787
CL:0000057,brain,c7,0.7949714064598083
CL:0000057,brain,cenpp,0.9268323183059692
CL:0000057,brain,pld1,0.8627780079841614
CL:0000057,brain,adamts9as2,0.8685578107833862
CL:0000057,brain,rbpms,0.8730555772781372
CL:0000057,brain,dse,0.8818174600601196
CL:0000057,brain,prelp,0.8838332295417786
