cl,tissue,gene
CL:0000816,blood,cd19
CL:0000816,blood,ighm
CL:0000816,blood,ms4a1
CL:0000816,blood,pax5
CL:0000816,bone marrow,cd19
CL:0000816,bone marrow,ighm
CL:0000816,bone marrow,ms4a1
CL:0000816,bone marrow,pax5
CL:0000787,blood,cd19
CL:0000787,blood,cd27
CL:0000787,blood,cd82
CL:0000787,blood,igha1
CL:0000787,blood,ighg1
CL:0000787,blood,ms4a1
CL:0000787,blood,sell
CL:0000787,bone marrow,cd19
CL:0000787,bone marrow,cd27
CL:0000787,bone marrow,cd82
CL:0000787,bone marrow,igha1
CL:0000787,bone marrow,ighg1
CL:0000787,bone marrow,ms4a1
CL:0000787,bone marrow,sell
CL:0000788,blood,cd19
CL:0000788,blood,cd40
CL:0000788,blood,fcer2
CL:0000788,blood,ighm
CL:0000788,blood,ms4a1
CL:0000788,blood,pax5
CL:0000788,bone marrow,cd19
CL:0000788,bone marrow,cd40
CL:0000788,bone marrow,fcer2
CL:0000788,bone marrow,ighm
CL:0000788,bone marrow,ms4a1
CL:0000788,bone marrow,pax5
CL:0000788,lymph node,cd19
CL:0000788,lymph node,fcer2
CL:0000788,lymph node,hladra
CL:0000788,lymph node,ighd
CL:0000788,lymph node,ms4a1
CL:0000788,lymph node,sell
CL:0000818,blood,bcl7a
CL:0000818,blood,cd24
CL:0000818,blood,fcrla
CL:0000818,blood,igll5
CL:0000818,blood,sox4
CL:0000818,blood,tcl1a
CL:0001056,blood,axl
CL:0001056,blood,cadm1
CL:0001056,blood,cd163
CL:0001056,blood,cd1c
CL:0001056,blood,cd22
CL:0001056,blood,cd36
CL:0001056,blood,clec10a
CL:0001056,blood,clec9a
CL:0001056,blood,fcer1a
CL:0001056,blood,fcgr2b
CL:0001056,blood,gzmb
CL:0001056,blood,hladpb1
CL:0001056,blood,hladqa2
CL:0001056,blood,jchain
CL:0001056,blood,s100a8
CL:0001056,blood,s100a9
CL:0001056,blood,serpinf1
CL:0001056,blood,siglec6
CL:0001056,blood,xcr1
CL:0001056,bone marrow,axl
CL:0001056,bone marrow,cadm1
CL:0001056,bone marrow,cd163
CL:0001056,bone marrow,cd1c
CL:0001056,bone marrow,cd22
CL:0001056,bone marrow,cd36
CL:0001056,bone marrow,clec10a
CL:0001056,bone marrow,clec9a
CL:0001056,bone marrow,fcer1a
CL:0001056,bone marrow,fcgr2b
CL:0001056,bone marrow,gzmb
CL:0001056,bone marrow,hladpb1
CL:0001056,bone marrow,hladqa2
CL:0001056,bone marrow,jchain
CL:0001056,bone marrow,s100a8
CL:0001056,bone marrow,s100a9
CL:0001056,bone marrow,serpinf1
CL:0001056,bone marrow,siglec6
CL:0001056,bone marrow,xcr1
CL:0001056,kidney,apoe
CL:0001056,kidney,cd1c
CL:0001056,kidney,cd1e
CL:0001056,kidney,fcer1a
CL:0001056,kidney,hladra
CL:0002394,lymph node,batf3
CL:0002394,lymph node,cadm1
CL:0002394,lymph node,clec9a
CL:0002394,lymph node,ido1
CL:0002394,lymph node,xcr1
CL:0002399,blood,cd163
CL:0002399,blood,cd1c
CL:0002399,blood,cd36
CL:0002399,blood,clec10a
CL:0002399,blood,fcer1a
CL:0002399,blood,fcgr2b
CL:0002399,blood,hladpb1
CL:0002399,blood,hladqa2
CL:0002399,blood,s100a8
CL:0002399,blood,s100a9
CL:0001054,bone marrow,cd14
CL:0001054,bone marrow,cst3
CL:0001054,bone marrow,fcn1
CL:0001054,bone marrow,s100a8
CL:0001054,bone marrow,s100a9
